question,answer
"What nationality was the traveler to Dubai, United Arab Emirates?",Emirati
"What type of accommodation was used in Dubai, United Arab Emirates?",Resort
"How much did the accommodation cost in Dubai, United Arab Emirates?",2500 €
"What transportation was used to reach Dubai, United Arab Emirates?",Flight
"What was the transportation cost to Dubai, United Arab Emirates?",800 €
"What was the total budget for the trip to Dubai, United Arab Emirates?",3300.0 € (Transport: 800 € + Accommodation: 2500 €)
What is the destination of the trip starting on 01/04/2024?,"Cancun, Mexico"
"When did the trip to Cancun, Mexico start?",01/04/2024
"How long was the trip to Cancun, Mexico?",7.0 days
"What nationality was the traveler to Cancun, Mexico?",Mexican
"What type of accommodation was used in Cancun, Mexico?",Hotel
"How much did the accommodation cost in Cancun, Mexico?",1000 €
"What transportation was used to reach Cancun, Mexico?",Flight
"What was the transportation cost to Cancun, Mexico?",500 €
"What was the total budget for the trip to Cancun, Mexico?",1500.0 € (Transport: 500 € + Accommodation: 1000 €)
What is the destination of the trip starting on 15/05/2024?,"Barcelona, Spain"
"When did the trip to Barcelona, Spain start?",15/05/2024
"How long was the trip to Barcelona, Spain?",7.0 days
"What nationality was the traveler to Barcelona, Spain?",Spanish
"What type of accommodation was used in Barcelona, Spain?",Airbnb
"How much did the accommodation cost in Barcelona, Spain?",800 €
"What transportation was used to reach Barcelona, Spain?",Train
"What was the transportation cost to Barcelona, Spain?",100 €
"What was the total budget for the trip to Barcelona, Spain?",900.0 € (Transport: 100 € + Accommodation: 800 €)
What is the destination of the trip starting on 10/06/2024?,"Honolulu, Hawaii"
"When did the trip to Honolulu, Hawaii start?",10/06/2024
"How long was the trip to Honolulu, Hawaii?",8.0 days
"What nationality was the traveler to Honolulu, Hawaii?",Chinese
"What type of accommodation was used in Honolulu, Hawaii?",Resort
"How much did the accommodation cost in Honolulu, Hawaii?",3000 €
"What transportation was used to reach Honolulu, Hawaii?",Flight
"What was the transportation cost to Honolulu, Hawaii?",1200 €
"What was the total budget for the trip to Honolulu, Hawaii?",4200.0 € (Transport: 1200 € + Accommodation: 3000 €)
What is the destination of the trip starting on 01/07/2024?,"Berlin, Germany"
"When did the trip to Berlin, Germany start?",01/07/2024
"How long was the trip to Berlin, Germany?",9.0 days
"What nationality was the traveler to Berlin, Germany?",German
"What type of accommodation was used in Berlin, Germany?",Hotel
"How much did the accommodation cost in Berlin, Germany?",1400 €
"What transportation was used to reach Berlin, Germany?",Flight
"What was the transportation cost to Berlin, Germany?",700 €
"What was the total budget for the trip to Berlin, Germany?",2100.0 € (Transport: 700 € + Accommodation: 1400 €)
What is the destination of the trip starting on 20/08/2024?,"Marrakech, Morocco"
"When did the trip to Marrakech, Morocco start?",20/08/2024
"How long was the trip to Marrakech, Morocco?",7.0 days
"What nationality was the traveler to Marrakech, Morocco?",Moroccan
"What type of accommodation was used in Marrakech, Morocco?",Riad
"How much did the accommodation cost in Marrakech, Morocco?",600 €
"What transportation was used to reach Marrakech, Morocco?",Flight
"What was the transportation cost to Marrakech, Morocco?",400 €
"What was the total budget for the trip to Marrakech, Morocco?",1000.0 € (Transport: 400 € + Accommodation: 600 €)
What is the destination of the trip starting on 05/09/2024?,"Edinburgh, Scotland"
"When did the trip to Edinburgh, Scotland start?",05/09/2024
"How long was the trip to Edinburgh, Scotland?",7.0 days
"What nationality was the traveler to Edinburgh, Scotland?",Scottish
"What type of accommodation was used in Edinburgh, Scotland?",Hotel
"How much did the accommodation cost in Edinburgh, Scotland?",900 €
"What transportation was used to reach Edinburgh, Scotland?",Train
"What was the transportation cost to Edinburgh, Scotland?",150 €
"What was the total budget for the trip to Edinburgh, Scotland?",1050.0 € (Transport: 150 € + Accommodation: 900 €)
What is the destination of the trip starting on 01/09/2023?,Paris
When did the trip to Paris start?,01/09/2023
How long was the trip to Paris?,9.0 days
What nationality was the traveler to Paris?,American
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,$900  €
What transportation was used to reach Paris?,Plane
What was the transportation cost to Paris?,$400  €
What was the total budget for the trip to Paris?,1300.0 € (Transport: $400  € + Accommodation: $900  €)
What is the destination of the trip starting on 15/08/2023?,Bali
When did the trip to Bali start?,15/08/2023
How long was the trip to Bali?,10.0 days
What nationality was the traveler to Bali?,Chinese
What type of accommodation was used in Bali?,Resort
How much did the accommodation cost in Bali?,"$1,500  €"
What transportation was used to reach Bali?,Plane
What was the transportation cost to Bali?,$700  €
What was the total budget for the trip to Bali?,"2200.0 € (Transport: $700  € + Accommodation: $1,500  €)"
What is the destination of the trip starting on 22/07/2023?,London
When did the trip to London start?,22/07/2023
How long was the trip to London?,6.0 days
What nationality was the traveler to London?,British
What type of accommodation was used in London?,Hotel
How much did the accommodation cost in London?,"$1,200  €"
What transportation was used to reach London?,Train
What was the transportation cost to London?,$150  €
What was the total budget for the trip to London?,"1350.0 € (Transport: $150  € + Accommodation: $1,200  €)"
What is the destination of the trip starting on 05/10/2023?,Tokyo
When did the trip to Tokyo start?,05/10/2023
How long was the trip to Tokyo?,10.0 days
What nationality was the traveler to Tokyo?,Japanese
What type of accommodation was used in Tokyo?,Hotel
How much did the accommodation cost in Tokyo?,"$1,200  €"
What transportation was used to reach Tokyo?,Plane
What was the transportation cost to Tokyo?,$800  €
What was the total budget for the trip to Tokyo?,"2000.0 € (Transport: $800  € + Accommodation: $1,200  €)"
What is the destination of the trip starting on 20/11/2023?,New York
When did the trip to New York start?,20/11/2023
How long was the trip to New York?,5.0 days
What nationality was the traveler to New York?,American
What type of accommodation was used in New York?,Airbnb
How much did the accommodation cost in New York?,$600  €
What transportation was used to reach New York?,Bus
What was the transportation cost to New York?,$100  €
What was the total budget for the trip to New York?,700.0 € (Transport: $100  € + Accommodation: $600  €)
What is the destination of the trip starting on 05/12/2023?,Sydney
When did the trip to Sydney start?,05/12/2023
How long was the trip to Sydney?,7.0 days
What nationality was the traveler to Sydney?,Australian
What type of accommodation was used in Sydney?,Hotel
How much did the accommodation cost in Sydney?,"$1,000  €"
What transportation was used to reach Sydney?,Plane
What was the transportation cost to Sydney?,$600  €
What was the total budget for the trip to Sydney?,"1600.0 € (Transport: $600  € + Accommodation: $1,000  €)"
What is the destination of the trip starting on 01/11/2023?,Rome
When did the trip to Rome start?,01/11/2023
How long was the trip to Rome?,7.0 days
What nationality was the traveler to Rome?,Italian
What type of accommodation was used in Rome?,Airbnb
How much did the accommodation cost in Rome?,$700  €
What transportation was used to reach Rome?,Train
What was the transportation cost to Rome?,$80  €
What was the total budget for the trip to Rome?,780.0 € (Transport: $80  € + Accommodation: $700  €)
What is the destination of the trip starting on 15/09/2023?,Bangkok
When did the trip to Bangkok start?,15/09/2023
How long was the trip to Bangkok?,8.0 days
What nationality was the traveler to Bangkok?,Indian
What type of accommodation was used in Bangkok?,Hostel
How much did the accommodation cost in Bangkok?,$400  €
What transportation was used to reach Bangkok?,Plane
What was the transportation cost to Bangkok?,$500  €
What was the total budget for the trip to Bangkok?,900.0 € (Transport: $500  € + Accommodation: $400  €)
What is the destination of the trip starting on 22/12/2023?,Paris
When did the trip to Paris start?,22/12/2023
How long was the trip to Paris?,6.0 days
What nationality was the traveler to Paris?,Vietnamese
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,"$1,400  €"
What transportation was used to reach Paris?,Train
What was the transportation cost to Paris?,$100  €
What was the total budget for the trip to Paris?,"1500.0 € (Transport: $100  € + Accommodation: $1,400  €)"
What is the destination of the trip starting on 01/08/2023?,Hawaii
When did the trip to Hawaii start?,01/08/2023
How long was the trip to Hawaii?,9.0 days
What nationality was the traveler to Hawaii?,Korean
What type of accommodation was used in Hawaii?,Resort
How much did the accommodation cost in Hawaii?,"$2,000  €"
What transportation was used to reach Hawaii?,Plane
What was the transportation cost to Hawaii?,$800  €
What was the total budget for the trip to Hawaii?,"2800.0 € (Transport: $800  € + Accommodation: $2,000  €)"
What is the destination of the trip starting on 20/10/2023?,Barcelona
When did the trip to Barcelona start?,20/10/2023
How long was the trip to Barcelona?,8.0 days
What nationality was the traveler to Barcelona?,Spanish
What type of accommodation was used in Barcelona?,Hotel
How much did the accommodation cost in Barcelona?,"$1,100  €"
What transportation was used to reach Barcelona?,Train
What was the transportation cost to Barcelona?,$150  €
What was the total budget for the trip to Barcelona?,"1250.0 € (Transport: $150  € + Accommodation: $1,100  €)"
What is the destination of the trip starting on 10/05/2022?,Japan
When did the trip to Japan start?,10/05/2022
How long was the trip to Japan?,8.0 days
What nationality was the traveler to Japan?,American
What type of accommodation was used in Japan?,Hotel
How much did the accommodation cost in Japan?,$800  €
What transportation was used to reach Japan?,Plane
What was the transportation cost to Japan?,$500  €
What was the total budget for the trip to Japan?,1300.0 € (Transport: $500  € + Accommodation: $800  €)
What is the destination of the trip starting on 15/06/2022?,Thailand
When did the trip to Thailand start?,15/06/2022
How long was the trip to Thailand?,7.0 days
What nationality was the traveler to Thailand?,Canadian
What type of accommodation was used in Thailand?,Hostel
How much did the accommodation cost in Thailand?,$200  €
What transportation was used to reach Thailand?,Train
What was the transportation cost to Thailand?,$150  €
What was the total budget for the trip to Thailand?,350.0 € (Transport: $150  € + Accommodation: $200  €)
What is the destination of the trip starting on 02/07/2022?,France
When did the trip to France start?,02/07/2022
How long was the trip to France?,9.0 days
What nationality was the traveler to France?,Korean
What type of accommodation was used in France?,Airbnb
How much did the accommodation cost in France?,$600  €
What transportation was used to reach France?,Car rental
What was the transportation cost to France?,$300  €
What was the total budget for the trip to France?,900.0 € (Transport: $300  € + Accommodation: $600  €)
What is the destination of the trip starting on 20/08/2022?,Australia
When did the trip to Australia start?,20/08/2022
How long was the trip to Australia?,13.0 days
What nationality was the traveler to Australia?,British
What type of accommodation was used in Australia?,Hotel
How much did the accommodation cost in Australia?,"$1,000  €"
What transportation was used to reach Australia?,Car rental
What was the transportation cost to Australia?,$500  €
What was the total budget for the trip to Australia?,"1500.0 € (Transport: $500  € + Accommodation: $1,000  €)"
What is the destination of the trip starting on 05/09/2022?,Brazil
When did the trip to Brazil start?,05/09/2022
How long was the trip to Brazil?,9.0 days
What nationality was the traveler to Brazil?,Australian
What type of accommodation was used in Brazil?,Hostel
How much did the accommodation cost in Brazil?,$150  €
What transportation was used to reach Brazil?,Bus
What was the transportation cost to Brazil?,$50  €
What was the total budget for the trip to Brazil?,200.0 € (Transport: $50  € + Accommodation: $150  €)
What is the destination of the trip starting on 12/10/2022?,Greece
When did the trip to Greece start?,12/10/2022
How long was the trip to Greece?,8.0 days
What nationality was the traveler to Greece?,American
What type of accommodation was used in Greece?,Airbnb
How much did the accommodation cost in Greece?,$400  €
What transportation was used to reach Greece?,Plane
What was the transportation cost to Greece?,$600  €
What was the total budget for the trip to Greece?,1000.0 € (Transport: $600  € + Accommodation: $400  €)
What is the destination of the trip starting on 08/11/2022?,Egypt
When did the trip to Egypt start?,08/11/2022
How long was the trip to Egypt?,7.0 days
What nationality was the traveler to Egypt?,Canadian
What type of accommodation was used in Egypt?,Hotel
How much did the accommodation cost in Egypt?,$700  €
What transportation was used to reach Egypt?,Train
What was the transportation cost to Egypt?,$100  €
What was the total budget for the trip to Egypt?,800.0 € (Transport: $100  € + Accommodation: $700  €)
What is the destination of the trip starting on 05/01/2023?,Mexico
When did the trip to Mexico start?,05/01/2023
How long was the trip to Mexico?,10.0 days
What nationality was the traveler to Mexico?,British
What type of accommodation was used in Mexico?,Airbnb
How much did the accommodation cost in Mexico?,$500  €
What transportation was used to reach Mexico?,Plane
What was the transportation cost to Mexico?,$800  €
What was the total budget for the trip to Mexico?,1300.0 € (Transport: $800  € + Accommodation: $500  €)
What is the destination of the trip starting on 14/02/2023?,Italy
When did the trip to Italy start?,14/02/2023
How long was the trip to Italy?,6.0 days
What nationality was the traveler to Italy?,American
What type of accommodation was used in Italy?,Hostel
How much did the accommodation cost in Italy?,$180  €
What transportation was used to reach Italy?,Train
What was the transportation cost to Italy?,$120  €
What was the total budget for the trip to Italy?,300.0 € (Transport: $120  € + Accommodation: $180  €)
What is the destination of the trip starting on 23/03/2023?,Spain
When did the trip to Spain start?,23/03/2023
How long was the trip to Spain?,8.0 days
What nationality was the traveler to Spain?,Korean
What type of accommodation was used in Spain?,Hotel
How much did the accommodation cost in Spain?,$900  €
What transportation was used to reach Spain?,Car rental
What was the transportation cost to Spain?,$400  €
What was the total budget for the trip to Spain?,1300.0 € (Transport: $400  € + Accommodation: $900  €)
What is the destination of the trip starting on 19/04/2023?,Canada
When did the trip to Canada start?,19/04/2023
How long was the trip to Canada?,7.0 days
What nationality was the traveler to Canada?,Australian
What type of accommodation was used in Canada?,Airbnb
How much did the accommodation cost in Canada?,$350  €
What transportation was used to reach Canada?,Bus
What was the transportation cost to Canada?,$75  €
What was the total budget for the trip to Canada?,425.0 € (Transport: $75  € + Accommodation: $350  €)
What is the destination of the trip starting on 12/06/2022?,"Paris, France"
"When did the trip to Paris, France start?",12/06/2022
"How long was the trip to Paris, France?",7.0 days
"What nationality was the traveler to Paris, France?",American
"What type of accommodation was used in Paris, France?",Hotel
"How much did the accommodation cost in Paris, France?",1400 €
"What transportation was used to reach Paris, France?",Plane
"What was the transportation cost to Paris, France?",600 €
"What was the total budget for the trip to Paris, France?",2000.0 € (Transport: 600 € + Accommodation: 1400 €)
What is the destination of the trip starting on 02/01/2023?,"Sydney, Australia"
"When did the trip to Sydney, Australia start?",02/01/2023
"How long was the trip to Sydney, Australia?",7.0 days
"What nationality was the traveler to Sydney, Australia?",Canadian
"What type of accommodation was used in Sydney, Australia?",Airbnb
"How much did the accommodation cost in Sydney, Australia?",800 €
"What transportation was used to reach Sydney, Australia?",Train
"What was the transportation cost to Sydney, Australia?",150 €
"What was the total budget for the trip to Sydney, Australia?",950.0 € (Transport: 150 € + Accommodation: 800 €)
What is the destination of the trip starting on 10/12/2022?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",10/12/2022
"How long was the trip to Tokyo, Japan?",8.0 days
"What nationality was the traveler to Tokyo, Japan?",Chinese
"What type of accommodation was used in Tokyo, Japan?",Hostel
"How much did the accommodation cost in Tokyo, Japan?",500 €
"What transportation was used to reach Tokyo, Japan?",Plane
"What was the transportation cost to Tokyo, Japan?",900 €
"What was the total budget for the trip to Tokyo, Japan?",1400.0 € (Transport: 900 € + Accommodation: 500 €)
What is the destination of the trip starting on 01/07/2023?,"Cancun, Mexico"
"When did the trip to Cancun, Mexico start?",01/07/2023
"How long was the trip to Cancun, Mexico?",7.0 days
"What nationality was the traveler to Cancun, Mexico?",American
"What type of accommodation was used in Cancun, Mexico?",Resort
"How much did the accommodation cost in Cancun, Mexico?",2200 €
"What transportation was used to reach Cancun, Mexico?",Plane
"What was the transportation cost to Cancun, Mexico?",800 €
"What was the total budget for the trip to Cancun, Mexico?",3000.0 € (Transport: 800 € + Accommodation: 2200 €)
What is the destination of the trip starting on 20/11/2022?,"Rio de Janeiro, Brazil"
"When did the trip to Rio de Janeiro, Brazil start?",20/11/2022
"How long was the trip to Rio de Janeiro, Brazil?",7.0 days
"What nationality was the traveler to Rio de Janeiro, Brazil?",Brazilian
"What type of accommodation was used in Rio de Janeiro, Brazil?",Hotel
"How much did the accommodation cost in Rio de Janeiro, Brazil?",1200 €
"What transportation was used to reach Rio de Janeiro, Brazil?",Plane
"What was the transportation cost to Rio de Janeiro, Brazil?",700 €
"What was the total budget for the trip to Rio de Janeiro, Brazil?",1900.0 € (Transport: 700 € + Accommodation: 1200 €)
What is the destination of the trip starting on 05/03/2023?,"London, UK"
"When did the trip to London, UK start?",05/03/2023
"How long was the trip to London, UK?",7.0 days
"What nationality was the traveler to London, UK?",British
"What type of accommodation was used in London, UK?",Airbnb
"How much did the accommodation cost in London, UK?",900 €
"What transportation was used to reach London, UK?",Train
"What was the transportation cost to London, UK?",100 €
"What was the total budget for the trip to London, UK?",1000.0 € (Transport: 100 € + Accommodation: 900 €)
What is the destination of the trip starting on 18/08/2023?,"Barcelona, Spain"
"When did the trip to Barcelona, Spain start?",18/08/2023
"How long was the trip to Barcelona, Spain?",7.0 days
"What nationality was the traveler to Barcelona, Spain?",Spanish
"What type of accommodation was used in Barcelona, Spain?",Hostel
"How much did the accommodation cost in Barcelona, Spain?",600 €
"What transportation was used to reach Barcelona, Spain?",Plane
"What was the transportation cost to Barcelona, Spain?",600 €
"What was the total budget for the trip to Barcelona, Spain?",1200.0 € (Transport: 600 € + Accommodation: 600 €)
What is the destination of the trip starting on 15/09/2022?,"New York City, USA"
"When did the trip to New York City, USA start?",15/09/2022
"How long was the trip to New York City, USA?",7.0 days
"What nationality was the traveler to New York City, USA?",American
"What type of accommodation was used in New York City, USA?",Hotel
"How much did the accommodation cost in New York City, USA?",1500 €
"What transportation was used to reach New York City, USA?",Plane
"What was the transportation cost to New York City, USA?",500 €
"What was the total budget for the trip to New York City, USA?",2000.0 € (Transport: 500 € + Accommodation: 1500 €)
What is the destination of the trip starting on 01/05/2023?,"Bangkok, Thailand"
"When did the trip to Bangkok, Thailand start?",01/05/2023
"How long was the trip to Bangkok, Thailand?",6.0 days
"What nationality was the traveler to Bangkok, Thailand?",Indian
"What type of accommodation was used in Bangkok, Thailand?",Airbnb
"How much did the accommodation cost in Bangkok, Thailand?",500 €
"What transportation was used to reach Bangkok, Thailand?",Bus
"What was the transportation cost to Bangkok, Thailand?",50 €
"What was the total budget for the trip to Bangkok, Thailand?",550.0 € (Transport: 50 € + Accommodation: 500 €)
What is the destination of the trip starting on 10/07/2022?,"Vancouver, Canada"
"When did the trip to Vancouver, Canada start?",10/07/2022
"How long was the trip to Vancouver, Canada?",7.0 days
"What nationality was the traveler to Vancouver, Canada?",Korean
"What type of accommodation was used in Vancouver, Canada?",Hostel
"How much did the accommodation cost in Vancouver, Canada?",400 €
"What transportation was used to reach Vancouver, Canada?",Train
"What was the transportation cost to Vancouver, Canada?",150 €
"What was the total budget for the trip to Vancouver, Canada?",550.0 € (Transport: 150 € + Accommodation: 400 €)
What is the destination of the trip starting on 20/06/2023?,"Amsterdam, Netherlands"
"When did the trip to Amsterdam, Netherlands start?",20/06/2023
"How long was the trip to Amsterdam, Netherlands?",8.0 days
"What nationality was the traveler to Amsterdam, Netherlands?",Dutch
"What type of accommodation was used in Amsterdam, Netherlands?",Hotel
"How much did the accommodation cost in Amsterdam, Netherlands?",1100 €
"What transportation was used to reach Amsterdam, Netherlands?",Plane
"What was the transportation cost to Amsterdam, Netherlands?",700 €
"What was the total budget for the trip to Amsterdam, Netherlands?",1800.0 € (Transport: 700 € + Accommodation: 1100 €)
What is the destination of the trip starting on 15/08/2023?,"Paris, France"
"When did the trip to Paris, France start?",15/08/2023
"How long was the trip to Paris, France?",7.0 days
"What nationality was the traveler to Paris, France?",Canadian
"What type of accommodation was used in Paris, France?",Hotel
"How much did the accommodation cost in Paris, France?","$1,200  €"
"What transportation was used to reach Paris, France?",Train
"What was the transportation cost to Paris, France?",$300  €
"What was the total budget for the trip to Paris, France?","1500.0 € (Transport: $300  € + Accommodation: $1,200  €)"
What is the destination of the trip starting on 10/10/2023?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",10/10/2023
"How long was the trip to Tokyo, Japan?",10.0 days
"What nationality was the traveler to Tokyo, Japan?",American
"What type of accommodation was used in Tokyo, Japan?",Hostel
"How much did the accommodation cost in Tokyo, Japan?",$500  €
"What transportation was used to reach Tokyo, Japan?",Bus
"What was the transportation cost to Tokyo, Japan?",$100  €
"What was the total budget for the trip to Tokyo, Japan?",600.0 € (Transport: $100  € + Accommodation: $500  €)
What is the destination of the trip starting on 05/11/2023?,"Sydney, AUS"
"When did the trip to Sydney, AUS start?",05/11/2023
"How long was the trip to Sydney, AUS?",7.0 days
"What nationality was the traveler to Sydney, AUS?",South Korean
"What type of accommodation was used in Sydney, AUS?",Airbnb
"How much did the accommodation cost in Sydney, AUS?",$900  €
"What transportation was used to reach Sydney, AUS?",Car rental
"What was the transportation cost to Sydney, AUS?",$200  €
"What was the total budget for the trip to Sydney, AUS?",1100.0 € (Transport: $200  € + Accommodation: $900  €)
What is the destination of the trip starting on 24/12/2023?,"New York, USA"
"When did the trip to New York, USA start?",24/12/2023
"How long was the trip to New York, USA?",7.0 days
"What nationality was the traveler to New York, USA?",Canadian
"What type of accommodation was used in New York, USA?",Hotel
"How much did the accommodation cost in New York, USA?","$1,400  €"
"What transportation was used to reach New York, USA?",Flight
"What was the transportation cost to New York, USA?",$800  €
"What was the total budget for the trip to New York, USA?","2200.0 € (Transport: $800  € + Accommodation: $1,400  €)"
What is the destination of the trip starting on 15/01/2024?,"Rio de Janeiro, Brazil"
"When did the trip to Rio de Janeiro, Brazil start?",15/01/2024
"How long was the trip to Rio de Janeiro, Brazil?",9.0 days
"What nationality was the traveler to Rio de Janeiro, Brazil?",Brazilian
"What type of accommodation was used in Rio de Janeiro, Brazil?",Airbnb
"How much did the accommodation cost in Rio de Janeiro, Brazil?",$800  €
"What transportation was used to reach Rio de Janeiro, Brazil?",Train
"What was the transportation cost to Rio de Janeiro, Brazil?",$150  €
"What was the total budget for the trip to Rio de Janeiro, Brazil?",950.0 € (Transport: $150  € + Accommodation: $800  €)
What is the destination of the trip starting on 01/02/2024?,"Bangkok, Thailand"
"When did the trip to Bangkok, Thailand start?",01/02/2024
"How long was the trip to Bangkok, Thailand?",8.0 days
"What nationality was the traveler to Bangkok, Thailand?",Indian
"What type of accommodation was used in Bangkok, Thailand?",Hostel
"How much did the accommodation cost in Bangkok, Thailand?",$400  €
"What transportation was used to reach Bangkok, Thailand?",Bus
"What was the transportation cost to Bangkok, Thailand?",$50  €
"What was the total budget for the trip to Bangkok, Thailand?",450.0 € (Transport: $50  € + Accommodation: $400  €)
What is the destination of the trip starting on 15/03/2024?,"London, UK"
"When did the trip to London, UK start?",15/03/2024
"How long was the trip to London, UK?",8.0 days
"What nationality was the traveler to London, UK?",British
"What type of accommodation was used in London, UK?",Hotel
"How much did the accommodation cost in London, UK?","$1,000  €"
"What transportation was used to reach London, UK?",Train
"What was the transportation cost to London, UK?",$200  €
"What was the total budget for the trip to London, UK?","1200.0 € (Transport: $200  € + Accommodation: $1,000  €)"
What is the destination of the trip starting on 05/04/2024?,"Barcelona, Spain"
"When did the trip to Barcelona, Spain start?",05/04/2024
"How long was the trip to Barcelona, Spain?",8.0 days
"What nationality was the traveler to Barcelona, Spain?",Spanish
"What type of accommodation was used in Barcelona, Spain?",Airbnb
"How much did the accommodation cost in Barcelona, Spain?",$700  €
"What transportation was used to reach Barcelona, Spain?",Car rental
"What was the transportation cost to Barcelona, Spain?",$250  €
"What was the total budget for the trip to Barcelona, Spain?",950.0 € (Transport: $250  € + Accommodation: $700  €)
What is the destination of the trip starting on 10/05/2024?,"Seoul, South Korea"
"When did the trip to Seoul, South Korea start?",10/05/2024
"How long was the trip to Seoul, South Korea?",8.0 days
"What nationality was the traveler to Seoul, South Korea?",South Korean
"What type of accommodation was used in Seoul, South Korea?",Hostel
